age,income,loan_amount,credit_score,employment_years,existing_debt,has_coapplicant,previous_defaults,marital_status,education_level,approved
56,75705,19701,329,2,7140,0,0,single,master,1
69,44418,30910,407,3,0,0,0,single,high_school,1
46,59907,14383,744,5,0,0,0,single,high_school,1
32,63178,14310,737,3,538,0,0,married,phd,1
60,36057,9521,756,6,2372,0,0,divorced,high_school,1
25,51981,500,794,2,4658,0,0,married,high_school,1
38,56857,500,546,5,6648,1,0,single,master,1
56,28635,9466,842,6,0,1,0,single,master,1
36,74558,7932,738,6,0,1,0,divorced,bachelor,1
40,44301,11079,577,3,2259,0,0,married,bachelor,1
28,46567,18635,410,4,15535,1,0,married,master,1
28,27948,7345,684,3,0,0,0,married,bachelor,0
41,30970,18798,490,2,6140,0,0,single,high_school,1
53,8000,7398,789,5,15465,1,0,married,none,1
57,45993,20306,725,4,0,0,0,divorced,bachelor,1
41,90102,12691,704,2,7758,0,0,married,master,1
20,26665,8513,634,0,0,1,0,single,master,1
39,98572,12554,508,0,1468,1,0,single,master,0
19,70457,9652,321,5,0,1,0,single,master,0
41,36475,12905,507,6,0,0,0,married,bachelor,1
61,45491,18065,307,1,24053,0,0,single,high_school,0
47,42568,11302,828,2,10911,1,0,single,bachelor,1
55,75711,9043,465,5,12712,0,0,divorced,bachelor,0
19,54306,3012,795,4,8444,0,0,single,bachelor,1
38,66276,16633,728,3,0,0,1,single,high_school,0
50,51447,14786,462,2,7765,0,0,single,master,1
29,42984,2544,665,0,12511,0,0,single,high_school,1
39,50876,18684,825,4,0,0,1,single,high_school,0
61,37675,2415,538,5,11757,0,0,divorced,bachelor,0
42,18860,20234,371,2,9930,0,0,married,bachelor,0
66,59646,17503,744,3,17964,0,0,married,high_school,0
44,17979,15357,808,7,2076,0,0,single,master,1
59,40161,8984,568,5,0,1,0,married,high_school,1
45,37082,16606,714,3,2469,0,0,single,high_school,1
33,56580,20611,544,1,15049,0,0,single,high_school,0
32,73165,16739,359,3,0,1,0,divorced,bachelor,0
64,66689,6638,305,4,0,0,0,single,master,1
68,57104,14139,706,1,5626,0,0,single,bachelor,1
